City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,jiwani,25.05,61.7417,79.5,86,0,7.65,PK,1725840933
300,villa del totoral,-30.8167,-63.7167,65.53,45,99,2.21,AR,1725840934
301,brookings,44.3114,-96.7984,73.06,60,0,5.75,US,1725840904
302,metropolis,37.1512,-88.732,68.18,43,0,3.44,US,1725840936
303,port blair,11.6667,92.75,81.52,84,100,19.01,IN,1725840937
304,maamba,-17.3667,27.15,72.05,43,36,4.45,ZM,1725840938
305,konosha,60.9736,40.257,51.04,75,36,3.53,RU,1725840939
306,masvingo,-20.0637,30.8277,68.29,32,8,7.31,ZW,1725840941
307,kisangani,0.5167,25.2,68.7,93,52,1.3,CD,1725840942
308,saint-philippe,-21.3585,55.7679,69.08,86,74,3.0,RE,1725840943
309,pangkalpinang,-2.1333,106.1333,79.47,86,98,4.38,ID,1725840944
310,vorgashor,67.5833,63.95,40.32,76,100,13.22,RU,1725840946
311,mata-utu,-13.2816,-176.1745,79.72,80,91,7.29,WF,1725840947
312,itoigawa,37.0333,137.85,81.3,79,2,6.62,JP,1725840786
313,mahibadhoo,3.7833,72.9667,82.76,72,97,9.78,MV,1725840951
314,alotau,-10.3069,150.4462,81.18,58,81,5.19,PG,1725840952
315,sao jose da coroa grande,-8.8978,-35.1478,74.26,85,26,14.43,BR,1725840758
316,zadawa,11.4496,10.3672,75.09,76,79,6.51,NG,1725840954
317,ancud,-41.8697,-73.8203,49.21,86,99,16.82,CL,1725840955
318,motygino,58.1831,94.7592,46.4,98,99,9.48,RU,1725840956
319,porto novo,6.4965,2.6036,75.52,88,6,5.84,BJ,1725840957
320,saldanha,-33.0117,17.9442,53.58,65,0,24.87,ZA,1725840958
321,east london,-33.0153,27.9116,55.81,70,88,10.96,ZA,1725840961
322,nosy varika,-20.5833,48.5333,65.75,94,92,5.19,MG,1725840962
323,trinidad,-14.8333,-64.9,85.68,23,1,2.91,BO,1725840963
324,akureyri,65.6835,-18.0878,36.1,78,67,6.11,IS,1725840679
325,yeed,4.55,43.0333,77.34,58,100,18.75,SO,1725840965
326,chernyshevskiy,63.0128,112.4714,44.82,91,100,5.66,RU,1725840733
327,frankfort,-27.2667,28.4833,58.06,33,45,0.98,ZA,1725840967
328,al burayqah,30.4062,19.5739,82.13,75,33,11.18,LY,1725840968
329,al ghayzah,16.2079,52.176,78.19,92,89,4.92,YE,1725840970
330,nova sintra,14.8667,-24.7167,80.06,80,100,14.36,CV,1725840972
331,izmail,45.3493,28.8408,63.95,60,0,5.48,UA,1725840973
332,el calafate,-50.3408,-72.2768,36.34,67,29,11.41,AR,1725840974
333,kone,-21.0595,164.8658,75.29,51,40,7.92,NC,1725840976
334,maumere,-8.6199,122.2111,83.08,60,6,1.36,ID,1725840978
335,la libertad,-2.2333,-80.9,69.3,84,57,8.79,EC,1725840979
336,ardakan,32.31,54.0175,76.75,19,6,9.06,IR,1725840980
337,tolanaro,-25.0319,46.9987,73.78,64,16,3.15,MG,1725840983
338,imbituba,-28.24,-48.6703,61.32,96,29,6.73,BR,1725840984
339,guarapari,-20.6667,-40.4975,70.99,90,3,11.21,BR,1725840985
340,pskov,57.8136,28.3496,53.49,79,38,5.01,RU,1725840987
341,bardai,11.65,7.2333,72.23,87,48,6.06,NG,1725840988
342,gillette,44.2911,-105.5022,88.11,15,0,10.36,US,1725840847
343,votkinsk,57.0486,53.9872,55.49,83,25,2.62,RU,1725840991
344,ludvika,60.1496,15.1878,61.77,84,55,3.36,SE,1725840992
345,northam,51.0333,-4.2167,58.6,93,95,19.53,GB,1725840993
346,gerdzhyush,37.5651,41.3916,74.57,36,0,3.62,TR,1725840994
347,kayes,14.0,-11.0,72.09,96,100,8.12,ML,1725840995
348,nikol'sk,53.7189,46.0712,59.22,77,70,4.74,RU,1725840990
349,hasaki,35.7333,140.8333,80.74,80,14,4.63,JP,1725840997
350,santa terezinha,-29.9002,-50.0904,61.83,97,47,2.19,BR,1725840998
351,thunder bay,48.4001,-89.3168,56.01,87,7,1.92,CA,1725840828
352,crane,31.3974,-102.3501,83.05,27,0,13.87,US,1725841000
353,broken hill,-31.95,141.4333,59.34,54,0,9.4,AU,1725841002
